id,titulo,autor,precio,idEditorial
1,Bitchip,Arrell,7930.04,1
2,Temp,Carrigan,9709.69,3
3,Andalax,Abramcik,4511.3,3
4,Vagram,Wickett,1435.56,3
5,Stim,Kenningham,6633.28,3
6,Zontrax,Vasechkin,1478.03,1
7,Domainer,Saunderson,544.56,5
8,Sub-Ex,Worling,2939.64,1
9,Alpha,Kirvin,6401.97,1
10,Stringtough,Sanpere,3008.45,4
11,Regrant,Goodyer,4761.22,2
12,Bitwolf,Dargan,2625.34,1
13,Cardify,Bussel,4631.05,4
14,Lotstring,Grzegorzewski,6778.4,4
15,Job,Grundwater,2684.56,2
16,Sonsing,Gierck,2390.48,3
17,Sonair,McIndoe,4001.81,4
18,Fixflex,Sidworth,7598.78,2
19,Stronghold,Rimbault,6968.79,6
20,Konklux,Thoday,9455.98,3
